EmployeeID,Role,AccessedResource,Timestamp,label
"EMP001","HR Manager","Employee_Records_Summary.xlsx","2026-01-01T16:00:00",0
"EMP002","Finance Analyst","Budget_Forecast_Q3.xlsx","2026-01-02T17:07:00",0
"EMP003","Developer","Source_Repository_Guide.txt","2026-01-03T18:14:00",0
"EMP004","Intern","Training_Guide.pdf","2026-01-04T19:21:00",0
"EMP005","Employee","Training_Guide.pdf","2026-01-05T20:28:00",0
"EMP006","HR Manager","Training_Calendar.pdf","2026-01-06T21:35:00",0
"EMP007","Finance Analyst","Financial_Report_2026.xlsx","2026-01-07T22:42:00",0
"EMP008","Developer","API_Documentation.md","2026-01-08T23:49:00",0
"EMP009","Intern","Learning_Portal_Notes.txt","2026-01-10T00:56:00",0
"EMP010","Employee","Team_Update_Public.pdf","2026-01-10T16:03:00",0
"EMP011","HR Manager","Recruitment_Pipeline.docx","2026-01-11T17:10:00",0
"EMP012","Finance Analyst","Audit_Tracker.csv","2026-01-12T18:17:00",0
"EMP013","Developer","Engineering_Architecture.pdf","2026-01-13T19:24:00",0
"EMP014","Intern","Onboarding_Checklist.docx","2026-01-14T20:31:00",0
"EMP015","Employee","Operations_Runbook_Internal.pdf","2026-01-15T21:38:00",0
"EMP016","HR Manager","Employee_Records_Summary.xlsx","2026-01-16T22:45:00",0
"EMP017","Finance Analyst","Budget_Forecast_Q3.xlsx","2026-01-17T23:52:00",0
"EMP018","Developer","Source_Repository_Guide.txt","2026-01-19T00:59:00",0
"EMP019","Intern","Training_Guide.pdf","2026-01-19T16:06:00",0
"EMP020","Employee","Training_Guide.pdf","2026-01-20T17:13:00",0
"EMP021","HR Manager","Training_Calendar.pdf","2026-01-01T18:20:00",0
"EMP022","Finance Analyst","Financial_Report_2026.xlsx","2026-01-02T19:27:00",0
"EMP023","Developer","API_Documentation.md","2026-01-03T20:34:00",0
"EMP024","Intern","Learning_Portal_Notes.txt","2026-01-04T21:41:00",0
"EMP025","Employee","Team_Update_Public.pdf","2026-01-05T22:48:00",0
"EMP026","HR Manager","Recruitment_Pipeline.docx","2026-01-06T23:55:00",0
"EMP027","Finance Analyst","Audit_Tracker.csv","2026-01-08T00:02:00",0
"EMP028","Developer","Engineering_Architecture.pdf","2026-01-08T16:09:00",0
"EMP029","Intern","Onboarding_Checklist.docx","2026-01-09T17:16:00",0
"EMP030","Employee","Operations_Runbook_Internal.pdf","2026-01-10T18:23:00",0
"EMP031","HR Manager","Employee_Records_Summary.xlsx","2026-01-11T19:30:00",0
"EMP032","Finance Analyst","Budget_Forecast_Q3.xlsx","2026-01-12T20:37:00",0
"EMP033","Developer","Source_Repository_Guide.txt","2026-01-13T21:44:00",0
"EMP034","Intern","Training_Guide.pdf","2026-01-14T22:51:00",0
"EMP035","Employee","Training_Guide.pdf","2026-01-15T23:58:00",0
"EMP036","HR Manager","Training_Calendar.pdf","2026-01-17T00:05:00",0
"EMP037","Finance Analyst","Financial_Report_2026.xlsx","2026-01-17T16:12:00",0
